sub,sub_name,rank,year,venue,title,doi,in_sub_cites,in_sub_share,spc_out,cited_by,cd5,on_main_path,q1_year
38,Tabletop Collaboration,2,1999,chi,Single display groupware,10.1145/302979.303064,40,0.136,1234.4,486,-0.008547008547008548,False,2009
38,Tabletop Collaboration,3,2006,chi,Collaborative coupling over tabletop displays,10.1145/1124772.1124950,36,0.122,945.9,289,-0.0963855421686747,False,2009
38,Tabletop Collaboration,4,2009,iss,Actions speak loudly with words,10.1145/1731903.1731939,35,0.119,1141.1,130,-0.045454545454545456,False,2009
38,Tabletop Collaboration,5,2004,cscw,Exploring the effects of group size and table size on interactions with tabletop shared-di,10.1145/1031607.1031654,31,0.105,895.2,175,-0.05517241379310345,False,2009
39,Public & Ambient Displays,1,2008,chi,"It's Mine, Don't Touch!",10.1145/1357054.1357255,68,0.236,1850.3,455,0.05319148936170213,False,2010
39,Public & Ambient Displays,2,2004,uist,Interactive public ambient displays,10.1145/1029632.1029656,63,0.219,1577.6,651,-0.026143790849673203,False,2010
39,Public & Ambient Displays,3,2001,chi,The notification collage,10.1145/365024.365339,30,0.104,934.8,300,0.08490566037735849,True,2010
39,Public & Ambient Displays,4,2010,chi,Designing urban media façades,10.1145/1753326.1753670,30,0.104,723.5,243,0.3181818181818182,False,2010
39,Public & Ambient Displays,5,2010,chi,Worlds of information,10.1145/1753326.1753669,30,0.104,867.6,136,-0.08333333333333333,False,2010
40,Real-time Groupware,1,1994,cscw,Real time groupware as a distributed system,10.1145/192844.193011,43,0.149,1153.6,391,0.09433962264150944,False,1996
40,Real-time Groupware,2,1996,tochi,"Building real-time groupware with GroupKit, a groupware toolkit",10.1145/226159.226162,34,0.118,1031.6,511,-0.0963855421686747,False,1996
40,Real-time Groupware,3,1990,cscw,Rendezvous: an architecture for synchronous multi-user applications,10.1145/99332.99364,30,0.104,888.1,194,0.40625,False,1996
40,Real-time Groupware,4,1990,cscw,MMConf: an infrastructure for building shared multimedia applications,10.1145/99332.99365,28,0.097,918.9,247,-0.034482758620689655,False,1996
40,Real-time Groupware,5,1996,cscw,"An integrating, transformation-oriented approach to concurrency control and undo in group ",10.1145/240080.240305,27,0.093,652.5,275,-0.06666666666666667,False,1996
41,Social VR & Presence,1,2019,chi,Shaping Pro-Social Interaction in VR,10.1145/3290605.3300794,53,0.221,1641.0,213,0.050955414012738856,False,2019
41,Social VR & Presence,2,2019,pacmhci,Harassment in Social Virtual Reality,10.1145/3359202,44,0.183,1417.9,211,0.07473309608540925,False,2019
41,Social VR & Presence,3,2018,chi,Communication Behavior in Embodied Virtual Reality,10.1145/3173574.3173863,34,0.142,903.2,252,0.29069767441860467,False,2019
41,Social VR & Presence,4,2017,vrst,The effect of avatar realism in immersive social virtual realities,10.1145/3139131.3139156,33,0.138,485.5,368,0.40540540540540543,False,2019
41,Social VR & Presence,5,2018,vrst,A longitudinal study of small group interaction in social virtual reality,10.1145/3281505.3281527,30,0.125,655.2,158,0.0847457627118644,False,2019
42,Mixed Reality Rooms & Video,1,2014,uist,RoomAlive,10.1145/2642918.2647383,25,0.127,806.3,305,0.02617801047120419,False,2016
42,Mixed Reality Rooms & Video,2,2016,chi,Augmenting the Field-of-View of Head-Mounted Displays with Sparse Peripheral Displays,10.1145/2858036.2858212,15,0.076,456.2,121,0.5641025641025641,False,2016
42,Mixed Reality Rooms & Video,3,2016,chi,SwiVRChair,10.1145/2858036.2858040,15,0.076,399.7,72,0.17307692307692307,False,2016
42,Mixed Reality Rooms & Video,4,2016,vrst,Missing the point,10.1145/2993369.2993405,15,0.076,275.8,151,0.2857142857142857,False,2016
42,Mixed Reality Rooms & Video,5,2016,vrst,Procedurally generated virtual reality from 3D reconstructed physical space,10.1145/2993369.2993372,10,0.051,299.4,129,0.007874015748031496,False,2016
43,Live Streaming,1,2014,chi,Streaming on twitch,10.1145/2556288.2557048,77,0.458,2004.3,659,0.14184397163120568,False,2016
43,Live Streaming,2,2016,chi,Meerkat and Periscope,10.1145/2858036.2858374,44,0.262,1402.9,188,-0.1686046511627907,False,2016
43,Live Streaming,3,2011,chi,Starcraft from the stands,10.1145/1978942.1979053,21,0.125,546.6,210,0.05,False,2016
43,Live Streaming,4,2007,chi,Watching together,10.1145/1240624.1240756,17,0.101,484.5,124,0.2,False,2016
43,Live Streaming,5,2016,imx,Rivulet,10.1145/2932206.2932211,13,0.077,470.6,36,-0.043478260869565216,False,2016
44,Meeting Capture & Reading,1,1994,chi,FILOCHAT,10.1145/191666.191763,25,0.158,809.0,172,-0.058823529411764705,False,1996
44,Meeting Capture & Reading,2,1992,cscw,Ubiquitous audio,10.1145/143457.143481,14,0.089,403.1,83,0.0,False,1996
44,Meeting Capture & Reading,3,1992,chi,Liveboard,10.1145/142750.143052,14,0.089,469.5,431,0.5,False,1996
44,Meeting Capture & Reading,4,1991,chi,Expressive richness,10.1145/108844.108848,12,0.076,340.1,118,0.2,False,1996
44,Meeting Capture & Reading,5,1992,chi,Working with audio,10.1145/142750.142877,12,0.076,431.2,64,0.75,False,1996
45,Distributed Cognition & Emergency Coordination,1,2000,tochi,Distributed cognition,10.1145/353485.353487,14,0.144,160.8,2200,0.08823529411764706,False,2003
45,Distributed Cognition & Emergency Coordination,2,2003,chi,Mobile computing in the retail arena,10.1145/642611.642670,5,0.052,72.4,85,1.0,False,2003
45,Distributed Cognition & Emergency Coordination,3,1983,chi,Getting into a system,10.1145/800045.801578,4,0.041,0.7,111,1.0,False,2003
45,Distributed Cognition & Emergency Coordination,4,2000,dis,<i>Lingua Francas</i> for design,10.1145/347642.347794,4,0.041,75.5,163,0.2631578947368421,False,2003
45,Distributed Cognition & Emergency Coordination,5,2002,vrst,DEMIS,10.1145/585740.585757,4,0.041,77.2,16,0.45454545454545453,False,2003
46,Driver Distraction & Take-over,1,2009,chi,Focus on driving,10.1145/1518701.1518950,10,0.061,293.9,78,0.2608695652173913,False,2013
46,Driver Distraction & Take-over,2,2013,autoui,Evaluating multimodal driver displays of varying urgency,10.1145/2516540.2516543,10,0.061,311.7,76,0.2692307692307692,False,2013
46,Driver Distraction & Take-over,3,2007,chi,iPod distraction,10.1145/1240624.1240665,8,0.048,210.1,80,0.25,False,2013
46,Driver Distraction & Take-over,4,2010,chi,"Cars, calls, and cognition",10.1145/1753326.1753518,8,0.048,247.0,62,0.10714285714285714,False,2013
46,Driver Distraction & Take-over,5,2004,chi,Collision warning design to mitigate driver distraction,10.1145/985692.985701,7,0.042,169.5,214,0.2222222222222222,False,2013
47,In-Car Interfaces,1,2013,autoui,Free-hand pointing for identification and interaction with distant objects,10.1145/2516540.2516556,18,0.129,365.2,50,0.14705882352941177,False,2013
47,In-Car Interfaces,2,2011,chi,Gestural interaction on the steering wheel,10.1145/1978942.1979010,16,0.114,452.6,103,-0.007722007722007722,False,2013
47,In-Car Interfaces,3,2013,autoui,Driver queries using wheel-constrained finger pointing and 3-D head-up display visual feed,10.1145/2516540.2516551,16,0.114,385.4,35,0.15384615384615385,False,2013
47,In-Car Interfaces,4,2012,autoui,Multimodal interaction in the car,10.1145/2390256.2390282,14,0.1,367.4,118,-0.006666666666666667,False,2013
47,In-Car Interfaces,5,2008,chi,"You can touch, but you can't look",10.1145/1357054.1357233,13,0.093,286.2,111,0.07936507936507936,False,2013
48,Automated Driving,1,2016,autoui,Towards Cooperative Driving,10.1145/3003715.3005458,18,0.141,495.8,85,0.15555555555555556,False,2019
48,Automated Driving,2,2013,autoui,Presenting system uncertainty in automotive UIs for supporting trust calibration in autono,10.1145/2516540.2516554,17,0.133,97.0,283,1.0,False,2019
48,Automated Driving,3,2017,iui,SupportingTrust in Autonomous Driving,10.1145/3025171.3025198,17,0.133,473.0,168,0.13513513513513514,False,2019
48,Automated Driving,4,2019,autoui,Cooperative Overtaking,10.1145/3342197.3344531,16,0.125,430.8,65,-0.034482758620689655,False,2019
48,Automated Driving,5,2015,autoui,Autonomous driving,10.1145/2799250.2799268,15,0.117,409.7,198,0.28125,False,2019
49,Car Navigation & Driver UIs,1,2010,chi,Where should i turn,10.1145/1753326.1753516,18,0.148,449.7,77,-0.029411764705882353,False,2011
49,Car Navigation & Driver UIs,2,2008,chi,In-car gps navigation,10.1145/1357054.1357316,17,0.139,452.9,162,0.0457516339869281,False,2011
49,Car Navigation & Driver UIs,3,2009,autoui,Design space for driver-based automotive user interfaces,10.1145/1620509.1620511,11,0.09,105.6,154,1.0,False,2011
49,Car Navigation & Driver UIs,4,2011,autoui,Capture the car!,10.1145/2381416.2381434,9,0.074,265.6,38,-0.125,False,2011
49,Car Navigation & Driver UIs,5,2010,autoui,Journey,10.1145/1969773.1969802,8,0.066,87.5,26,1.0,False,2011
50,Autonomous Vehicles & Pedestrians,1,2014,autoui,Towards Autonomous Cars,10.1145/2667317.2667330,21,0.044,526.6,334,0.21052631578947367,False,2016
50,Autonomous Vehicles & Pedestrians,2,2015,iss,Gesture Bike,10.1145/2817721.2817748,15,0.031,356.7,68,0.011494252873563218,False,2016
50,Autonomous Vehicles & Pedestrians,3,2012,autoui,Predicting information technology usage in the car,10.1145/2390256.2390264,14,0.029,317.1,259,0.21428571428571427,False,2016
50,Autonomous Vehicles & Pedestrians,4,2004,ubicomp,ActiveBelt: Belt-Type Wearable Tactile Display for Directional Navigation,10.1007/978-3-540-30119-6_23,13,0.027,243.5,311,0.14814814814814814,False,2016
50,Autonomous Vehicles & Pedestrians,5,2000,chi,Developing a context-aware electronic tourist guide,10.1145/332040.332047,12,0.025,194.7,962,0.9565217391304348,False,2016
51,Cognitive Modeling & Mixed Small Topics,1,1996,tochi,The GOMS family of user interface analysis techniques,10.1145/235833.236054,20,0.03,428.3,685,0.1111111111111111,False,2003
51,Cognitive Modeling & Mixed Small Topics,2,1996,tochi,Using GOMS for user interface design and evaluation,10.1145/235833.236050,11,0.016,298.4,392,-0.13333333333333333,False,2003
51,Cognitive Modeling & Mixed Small Topics,3,1995,uist,GLEAN,10.1145/215585.215700,9,0.013,226.4,94,0.5,False,2003
51,Cognitive Modeling & Mixed Small Topics,4,1982,chi,Analogy considered harmful,10.1145/800049.801816,7,0.01,117.0,262,1.0,False,2003
51,Cognitive Modeling & Mixed Small Topics,5,1990,chi,Extensions of GOMS analyses to expert performance requiring perception of dynamic visual a,10.1145/97243.97262,7,0.01,207.6,126,1.0,False,2003
52,Non-visual Navigation,1,2016,mobilehci,NavCog,10.1145/2935334.2935361,28,0.184,176.1,239,0.20833333333333334,False,2017
52,Non-visual Navigation,2,2012,chi,The user as a sensor,10.1145/2207676.2207735,22,0.145,190.3,116,1.0,False,2017
52,Non-visual Navigation,3,2016,ubicomp,"Finding a store, searching for a product",10.1145/2971648.2971723,19,0.125,479.7,87,0.007407407407407408,False,2017
52,Non-visual Navigation,4,2016,ubicomp,CueSee,10.1145/2971648.2971730,17,0.112,404.7,110,-0.031914893617021274,False,2017
52,Non-visual Navigation,5,2016,uist,VizLens,10.1145/2984511.2984518,16,0.105,454.2,98,-0.05649717514124294,False,2017
53,Accessibility Research Practice,1,2015,chi,Collaborative Accessibility,10.1145/2702123.2702511,42,0.276,1157.9,153,-0.04205607476635514,False,2018
53,Accessibility Research Practice,2,2017,dis,Enabling Collaboration in Learning Computer Programing Inclusive of Children with Vision I,10.1145/3064663.3064689,27,0.178,951.7,148,-0.03257328990228013,False,2018
53,Accessibility Research Practice,3,2018,pacmhci,Accessibility in Action,10.1145/3274449,26,0.171,819.2,62,-0.03535353535353535,False,2018
53,Accessibility Research Practice,4,2018,chi,"<i>""I can do everything but see!""</i> -- How People with Vision Impairments Negotiate thei",10.1145/3173574.3173777,17,0.112,580.1,67,-0.09523809523809523,False,2018
53,Accessibility Research Practice,5,2018,chi,“Bursting the Assistance Bubble”,10.1145/3173574.3173920,17,0.112,589.9,61,-0.06511627906976744,False,2018
54,Visual Accessibility,1,2010,uist,VizWiz,10.1145/1866029.1866080,44,0.349,1053.3,588,0.3253968253968254,False,2019
54,Visual Accessibility,2,2017,cscw,Automatic Alt-text,10.1145/2998181.2998364,36,0.286,1117.2,250,-0.10294117647058823,False,2019
54,Visual Accessibility,3,2016,cscw,How Blind People Interact with Visual Content on Social Networking Services,10.1145/2818048.2820013,27,0.214,844.0,178,-0.024793388429752067,False,2019
54,Visual Accessibility,4,2017,chi,Understanding Blind People's Experiences with Computer-Generated Captions of Social Media ,10.1145/3025453.3025814,27,0.214,847.8,195,-0.03951367781155015,False,2019
54,Visual Accessibility,5,2016,chi,"""With most of it being pictures now, I rarely use it""",10.1145/2858036.2858116,25,0.198,797.3,134,-0.04950495049504951,False,2019
55,Disability Studies in HCI,1,2011,chi,In the shadow of misperception,10.1145/1978942.1979044,45,0.082,969.5,479,0.7391304347826086,False,2017
55,Disability Studies in HCI,2,2015,chi,Head-Mounted Display Visualizations to Support Sound Awareness for the Deaf and Hard of He,10.1145/2702123.2702393,22,0.04,351.1,119,0.23529411764705882,False,2017
55,Disability Studies in HCI,3,2016,chi,MapSense,10.1145/2858036.2858375,20,0.036,551.6,115,-0.013043478260869565,False,2017
55,Disability Studies in HCI,4,2015,chi,StructJumper,10.1145/2702123.2702589,19,0.034,445.0,84,0.38461538461538464,False,2017
55,Disability Studies in HCI,5,2015,chi,Toward 3D-Printed Movable Tactile Pictures for Children with Visual Impairments,10.1145/2702123.2702144,19,0.034,470.6,64,-0.04,False,2017
56,Esports & Player Communities,1,2006,cscw,Strangers and friends,10.1145/1180875.1180898,37,0.257,956.3,416,0.15625,False,2014
56,Esports & Player Communities,2,2006,chi,"""Alone together?""",10.1145/1124772.1124834,33,0.229,865.4,757,-0.06,False,2014
56,Esports & Player Communities,3,2014,chiplay,Playing with strangers,10.1145/2658537.2658538,23,0.16,609.3,139,-0.09375,False,2014
56,Esports & Player Communities,4,2014,cscw,The identification of deviance and its impact on retention in a multiplayer game,10.1145/2531602.2531724,23,0.16,582.0,140,0.0,False,2014
56,Esports & Player Communities,5,2004,cscw,The social side of gaming,10.1145/1031607.1031667,17,0.118,373.9,353,0.046875,False,2014
57,Player Experience & Immersion,1,2013,chi,Control your game-self,10.1145/2470654.2470752,18,0.136,475.5,108,0.2982456140350877,False,2015
57,Player Experience & Immersion,2,2015,chiplay,How Self-Esteem Shapes our Interactions with Play Technologies,10.1145/2793107.2793111,11,0.083,314.9,47,-0.02142857142857143,False,2015
57,Player Experience & Immersion,3,2015,chiplay,Manipulating Leaderboards to Induce Player Experience,10.1145/2793107.2793138,10,0.076,283.0,58,0.0,False,2015
57,Player Experience & Immersion,4,2006,chi,A continuous and objective evaluation of emotional experience with interactive play enviro,10.1145/1124772.1124926,8,0.061,139.6,265,0.4,False,2015
57,Player Experience & Immersion,5,2013,chi,Analyzing users' narratives to understand experience with interactive products,10.1145/2470654.2481285,8,0.061,214.3,138,-0.02040816326530612,False,2015
58,Gamification & Engagement,1,2014,chi,A systematic review of quantitative studies on the enjoyment of digital entertainment game,10.1145/2556288.2557078,32,0.046,841.0,210,0.1095890410958904,False,2015
58,Gamification & Engagement,2,2015,chiplay,Emotional and Functional Challenge in Core and Avant-garde Games,10.1145/2793107.2793147,29,0.042,171.9,75,1.0,False,2015
58,Gamification & Engagement,3,2011,chi,Old wine in new bottles or novel challenges,10.1145/1978942.1979336,26,0.038,673.2,647,-0.11904761904761904,False,2015
58,Gamification & Engagement,4,2014,chi,"Effects of balancing for physical abilities on player performance, experience and self-est",10.1145/2556288.2556963,23,0.033,623.0,127,-0.08108108108108109,False,2015
58,Gamification & Engagement,5,2011,chi,Target assistance for subtly balancing competitive play,10.1145/1978942.1979287,22,0.032,592.9,82,0.13559322033898305,False,2015
59,Social Robots in the Field,1,2009,hri,Footing in human-robot conversations,10.1145/1514095.1514109,57,0.033,1296.0,389,0.30952380952380953,False,2013
59,Social Robots in the Field,2,2008,hri,Robots in organizations,10.1145/1349822.1349860,54,0.031,1209.4,361,0.0625,False,2013
59,Social Robots in the Field,3,2006,hri,Service robots in the domestic environment,10.1145/1121241.1121286,51,0.029,1111.5,511,0.14606741573033707,False,2013
59,Social Robots in the Field,4,2011,hri,Expressing thought,10.1145/1957656.1957674,44,0.025,927.7,273,0.2962962962962963,False,2013
59,Social Robots in the Field,5,2011,hri,Human-robot proxemics,10.1145/1957656.1957786,43,0.025,875.4,450,0.4411764705882353,False,2013
60,Generative AI & Writing,1,2014,tochi,Quantifying the Creativity Support of Digital Tools through the Creativity Support Index,10.1145/2617588,139,0.12,3364.3,473,0.5,False,2021
60,Generative AI & Writing,2,2019,chi,Mapping the Landscape of Creativity Support Tools in HCI,10.1145/3290605.3300619,111,0.096,4037.0,389,-0.056043956043956046,False,2021
60,Generative AI & Writing,3,2019,chi,Guidelines for Human-AI Interaction,10.1145/3290605.3300233,111,0.096,3337.7,2028,0.09681227863046045,False,2021
60,Generative AI & Writing,4,2018,chi,"I Lead, You Help but Only with Enough Details",10.1145/3173574.3174223,89,0.077,2622.6,297,0.014084507042253521,False,2021
60,Generative AI & Writing,5,2020,chi,Novice-AI Music Co-Creation via AI-Steering Tools for Deep Generative Models,10.1145/3313831.3376739,88,0.076,3153.8,259,-0.07261724659606657,False,2021
61,Voice & Conversational Agents,1,2016,chi,"""Like Having a Really Bad PA""",10.1145/2858036.2858288,218,0.199,5899.0,1108,0.6804733727810651,False,2019
61,Voice & Conversational Agents,2,2018,chi,Voice Interfaces in Everyday Life,10.1145/3173574.3174214,154,0.14,4955.3,700,-0.05952380952380952,False,2019
61,Voice & Conversational Agents,3,1994,chi,Computers are social actors,10.1145/191666.191703,124,0.113,655.4,1884,1.0,False,2019
61,Voice & Conversational Agents,4,2019,chi,What Makes a Good Conversation?,10.1145/3290605.3300705,108,0.098,3313.7,450,-0.12299465240641712,False,2019
61,Voice & Conversational Agents,5,2017,mobilehci,"""What can i help you with?""",10.1145/3098279.3098539,102,0.093,2735.3,352,-0.22857142857142856,False,2019
62,End-user Programming & UI Design Tools,1,2008,chi,CoScripter,10.1145/1357054.1357323,41,0.066,983.7,312,0.18518518518518517,False,2008
62,End-user Programming & UI Design Tools,2,2005,uist,Automation and customization of rendered web pages,10.1145/1095034.1095062,40,0.065,1152.0,224,-0.03125,False,2008
62,End-user Programming & UI Design Tools,3,2007,chi,Koala,10.1145/1240624.1240767,36,0.058,944.4,162,-0.05357142857142857,False,2008
62,End-user Programming & UI Design Tools,4,2007,uist,Programming by a sample,10.1145/1294211.1294254,31,0.05,911.2,119,-0.05325443786982249,False,2008
62,End-user Programming & UI Design Tools,5,2007,chi,Making mashups with marmite,10.1145/1240624.1240842,29,0.047,715.6,313,0.02127659574468085,False,2008
63,Robots & Agents in Education,1,2015,hri,Can Children Catch Curiosity from a Social Robot?,10.1145/2696454.2696469,23,0.048,171.0,180,0.3333333333333333,False,2018
63,Robots & Agents in Education,2,2015,hri,The Robot Who Tried Too Hard,10.1145/2696454.2696457,21,0.044,459.2,229,0.08450704225352113,False,2018
63,Robots & Agents in Education,3,2010,chi,Expressive robots in education,10.1145/1753326.1753567,19,0.04,303.6,319,0.21052631578947367,False,2018
63,Robots & Agents in Education,4,2017,hri,Growing Growth Mindset with a Social Robot Peer,10.1145/2909824.3020213,19,0.04,386.4,137,-0.0967741935483871,False,2018
63,Robots & Agents in Education,5,2018,idc,Why doesn't it work?,10.1145/3202185.3202749,16,0.034,518.1,70,0.022292993630573247,False,2018
64,Video Interfaces & Editing,1,2005,chi,Stencils-based tutorials,10.1145/1054972.1055047,35,0.082,806.2,187,0.0,False,2008
64,Video Interfaces & Editing,2,2008,chi,Video browsing by direct manipulation,10.1145/1357054.1357096,34,0.08,804.5,206,-0.025,False,2008
64,Video Interfaces & Editing,3,1996,tochi,A field study of exploratory learning strategies,10.1145/234526.234527,23,0.054,342.9,228,0.0,False,2008
64,Video Interfaces & Editing,4,2005,uist,DocWizards,10.1145/1095034.1095067,23,0.054,449.4,94,0.05555555555555555,False,2008
64,Video Interfaces & Editing,5,2002,chi,An evaluation of a multiple interface design solution for bloated software,10.1145/503376.503406,22,0.052,284.6,167,-0.027777777777777776,False,2008
65,Meeting Support & Group Displays,1,2004,cscw,Influencing group participation with a shared display,10.1145/1031607.1031713,16,0.087,394.2,220,0.3125,False,2014
65,Meeting Support & Group Displays,2,2008,cscw,Meeting mediator,10.1145/1460563.1460636,14,0.077,331.4,222,0.0,False,2014
65,Meeting Support & Group Displays,3,2009,chi,Visualizing real-time language-based feedback on teamwork behavior in computer-mediated gr,10.1145/1518701.1518784,14,0.077,370.6,86,0.0,False,2014
65,Meeting Support & Group Displays,4,2009,chi,Conversation clusters,10.1145/1518701.1519060,7,0.038,125.7,44,0.12,False,2014
65,Meeting Support & Group Displays,5,2013,chi,Improving teamwork using real-time language feedback,10.1145/2470654.2470720,7,0.038,175.6,84,-0.02040816326530612,False,2014
66,Usability Methods & Personas,1,1990,chi,Heuristic evaluation of user interfaces,10.1145/97243.97281,32,0.203,388.4,3455,1.0,False,2006
66,Usability Methods & Personas,2,1991,chi,User interface evaluation in the real world,10.1145/108844.108862,20,0.127,414.7,621,-0.5714285714285714,False,2006
66,Usability Methods & Personas,3,1990,chi,Testing a walkthrough methodology for theory-based design of walk-up-and-use interfaces,10.1145/97243.97279,17,0.108,382.4,561,0.9166666666666666,False,2006
66,Usability Methods & Personas,4,1992,chi,Comparison of empirical testing and walkthrough methods in user interface evaluation,10.1145/142750.142873,16,0.101,334.4,303,-0.1,False,2006
66,Usability Methods & Personas,5,1992,chi,Finding usability problems through heuristic evaluation,10.1145/142750.142834,13,0.082,205.7,1062,0.17647058823529413,False,2006
67,Multimodal Speech Interfaces,1,1999,chi,Mutual disambiguation of recognition errors in a multimodel architecture,10.1145/302979.303163,16,0.131,281.2,315,0.2608695652173913,False,2004
67,Multimodal Speech Interfaces,2,1997,chi,Integration and synchronization of input modes during multimodal human-computer interactio,10.1145/258549.258821,15,0.123,278.5,365,0.2,False,2004
67,Multimodal Speech Interfaces,3,1996,chi,Multimodal interfaces for dynamic interactive maps,10.1145/238386.238438,10,0.082,135.5,179,0.3333333333333333,False,2004
67,Multimodal Speech Interfaces,4,2003,icmi,Toward a theory of organized multimodal integration patterns during human-computer interac,10.1145/958432.958443,9,0.074,128.8,103,0.20833333333333334,False,2004
67,Multimodal Speech Interfaces,5,2004,icmi,Identifying the addressee in human-human-robot interactions based on head pose and speech,10.1145/1027933.1027959,9,0.074,149.4,123,0.09090909090909091,False,2004
68,Natural Language Interfaces & Human-AI Teams,1,2015,uist,DataTone,10.1145/2807442.2807478,33,0.104,769.9,246,0.2857142857142857,False,2018
68,Natural Language Interfaces & Human-AI Teams,2,2016,uist,Eviza,10.1145/2984511.2984588,29,0.092,670.8,228,-0.6,False,2018
68,Natural Language Interfaces & Human-AI Teams,3,2013,chi,Costs and benefits of structured information foraging,10.1145/2470654.2481415,16,0.051,413.8,40,0.0,False,2018
68,Natural Language Interfaces & Human-AI Teams,4,2008,chi,CiteSense,10.1145/1357054.1357161,9,0.028,102.4,44,0.0,False,2018
68,Natural Language Interfaces & Human-AI Teams,5,2008,chi,SearchBar,10.1145/1357054.1357242,9,0.028,234.3,143,-0.04819277108433735,False,2018
69,Urban Mobility Data,1,2012,ubicomp,Understanding and prediction of mobile application usage for smart phones,10.1145/2370216.2370243,27,0.122,529.3,274,0.5714285714285714,False,2014
69,Urban Mobility Data,2,2008,ubicomp,Understanding mobility based on GPS data,10.1145/1409635.1409677,16,0.072,365.2,1110,0.10714285714285714,False,2014
69,Urban Mobility Data,3,2006,ubicomp,Predestination: Inferring Destinations from Partial Trajectories,10.1007/11853565_15,15,0.068,356.4,455,0.7647058823529411,False,2014
69,Urban Mobility Data,4,2012,ubicomp,Predicting mobile application usage using contextual information,10.1145/2370216.2370442,14,0.063,80.9,132,1.0,False,2014
69,Urban Mobility Data,5,2013,ubicomp,Practical prediction and prefetch for faster access to applications on mobile phones,10.1145/2493432.2493490,14,0.063,269.0,168,-0.09090909090909091,False,2014
70,Email & Web Revisitation,1,1996,chi,Email overload,10.1145/238386.238530,67,0.303,1272.3,973,0.35714285714285715,False,2005
70,Email & Web Revisitation,2,2003,chi,Taking email to task,10.1145/642611.642672,49,0.222,1361.3,367,-0.03636363636363636,False,2005
70,Email & Web Revisitation,3,2003,chi,UMEA,10.1145/642611.642673,31,0.14,924.6,212,0.03571428571428571,False,2005
70,Email & Web Revisitation,4,2005,iui,TaskTracer,10.1145/1040830.1040855,31,0.14,777.8,239,-0.15217391304347827,False,2005
70,Email & Web Revisitation,5,1988,cscw,More than just a communication system: diversity in the use of electronic mail,10.1145/62266.62293,18,0.081,356.3,180,1.0,False,2005
71,Notifications & Interruptibility,1,2004,chi,"If not now, when?",10.1145/985692.985727,61,0.313,1400.5,522,-0.017543859649122806,False,2011
71,Notifications & Interruptibility,2,2005,chi,Using context-aware computing to reduce the perceived burden of interruptions from mobile ,10.1145/1054972.1055100,52,0.267,1284.6,363,-0.05660377358490566,False,2011
71,Notifications & Interruptibility,3,2003,chi,Predicting human interruptibility with sensors,10.1145/642611.642657,46,0.236,1240.5,295,0.07142857142857142,False,2011
71,Notifications & Interruptibility,4,2003,icmi,Learning and reasoning about interruption,10.1145/958432.958440,37,0.19,1093.3,267,0.027777777777777776,False,2011
71,Notifications & Interruptibility,5,2008,chi,Effects of intelligent notification management on users and their tasks,10.1145/1357054.1357070,35,0.179,980.2,193,-0.10810810810810811,False,2011
72,Instant Messaging,1,2000,cscw,Interaction and outeraction,10.1145/358916.358975,65,0.376,1944.6,1076,0.1348314606741573,False,2004
72,Instant Messaging,2,2002,cscw,"The character, functions, and styles of instant messaging in the workplace",10.1145/587078.587081,33,0.191,1029.5,369,-0.18072289156626506,False,2004
72,Instant Messaging,3,1999,chi,Socially translucent systems,10.1145/302979.302997,22,0.127,770.9,334,0.1388888888888889,False,2004
72,Instant Messaging,4,2003,chi,Wan2tlk?,10.1145/642611.642688,22,0.127,624.6,221,-0.02564102564102564,False,2004
72,Instant Messaging,5,2002,cscw,Instant messaging in teen life,10.1145/587078.587082,21,0.121,642.1,420,-0.01020408163265306,False,2004
73,Digital Self-control,1,2015,cscw,NUGU,10.1145/2675133.2675244,51,0.418,1514.0,176,-0.06222222222222222,False,2019
73,Digital Self-control,2,2016,chi,MyTime,10.1145/2858036.2858403,48,0.393,1436.4,141,-0.056818181818181816,False,2019
73,Digital Self-control,3,2016,chi,Lock n' LoL,10.1145/2858036.2858568,46,0.377,1407.3,109,-0.08712121212121213,False,2019
73,Digital Self-control,4,2018,imwut,What Makes Smartphone Use Meaningful or Meaningless?,10.1145/3191754,44,0.361,1393.6,207,-0.0913978494623656,False,2019
73,Digital Self-control,5,2019,chi,Self-Control in Cyberspace,10.1145/3290605.3300361,42,0.344,1386.5,211,-0.0688836104513064,False,2019
74,Location Sharing & Privacy,1,2005,chi,Location disclosure to social relations,10.1145/1054972.1054985,55,0.458,1687.1,551,-0.027777777777777776,False,2007
74,Location Sharing & Privacy,2,2005,ubicomp,"Control, Deception, and Communication: Evaluating the Deployment of a Location-Enhanced Me",10.1007/11551201_13,21,0.175,746.9,102,-0.08333333333333333,False,2007
74,Location Sharing & Privacy,3,2005,chi,Who gets to know what when,10.1145/1054972.1054987,13,0.108,410.7,139,0.03896103896103896,False,2007
74,Location Sharing & Privacy,4,2006,cscw,Context-aware telephony,10.1145/1180875.1180947,11,0.092,371.0,123,-0.07777777777777778,False,2007
74,Location Sharing & Privacy,5,2005,ubicomp,Learning and Recognizing the Places We Go,10.1007/11551201_10,9,0.075,296.6,264,0.5,False,2007
75,Task Switching at Work,1,2004,chi,A diary study of task switching and interruptions,10.1145/985692.985715,54,0.446,1282.0,817,0.06666666666666667,False,2011
