sub,name,band,papers,external_refs_seen,f1,f1_share,f2,f2_share,f3,f3_share,top_sources
109,Calendars & Scheduling,Design Research & Critical HCI,40,174,social science,0.29,hci (journals & other venues),0.26,other,0.09,Computer Supported Cooperative Work (CSCW) (15) / ACM Transactions on Information Systems (8) / Computer supported cooperative work (8) / Human-Computer Interaction (7)
110,Self-tracking & Reflection,Health & Wellbeing,519,407,social science,0.2,other,0.13,psychology,0.11,Personal and Ubiquitous Computing (14) / American Psychologist (9) / CHI '05 Extended Abstracts on Human Factors in Computing Sys (9) / 2008 Second International Conference on Pervasive Computing  (9)
111,Chronic Care & Caregiving,Health & Wellbeing,336,228,social science,0.24,hci (journals & other venues),0.2,psychology,0.13,Computer Supported Cooperative Work (CSCW) (11) / Personal and Ubiquitous Computing (7) / IEEE Pervasive Computing (6) / CHI '05 Extended Abstracts on Human Factors in Computing Sys (6)
112,Behavior Sensing,Health & Wellbeing,329,345,ml/ai,0.16,social science,0.15,psychology,0.14,"Journal of Personality and Social Psychology (15) / Personal and Ubiquitous Computing (15) / IEEE Pervasive Computing (8) / 8th international conference on Mobile systems, applications (8)"
113,Stress & Mood Technology,Health & Wellbeing,299,224,psychology,0.16,hci (journals & other venues),0.16,health/medicine,0.12,Interacting with Computers (10) / Personal and Ubiquitous Computing (6) / PubMed (4) / BMJ (4)
114,Aging & Dementia Care,Health & Wellbeing,287,226,hci (journals & other venues),0.24,social science,0.17,psychology,0.12,Universal Access in the Information Society (7) / Personal and Ubiquitous Computing (6) / Interacting with Computers (6) / interactions (5)
115,Personal Informatics Models,Health & Wellbeing,264,204,social science,0.21,health/medicine,0.15,psychology,0.13,interactions (6) / Contemporary Sociology A Journal of Reviews (4) / 10th international conference on Human computer interaction  (4) / Personal and Ubiquitous Computing (4)
116,Clinical Information Work,Health & Wellbeing,141,208,hci (journals & other venues),0.27,social science,0.25,other,0.14,Computer Supported Cooperative Work (CSCW) (28) / Intellectual Teamwork (7) / Fourth European Conference on Computer-Supported Cooperative (7) / ECSCW 2001 (7)
117,"Sleep, ADHD & Lifelogging",Health & Wellbeing,213,134,social science,0.14,psychology,0.13,other,0.08,IEEE Pervasive Computing (5) / Communications of the ACM (5) / ACM SIGMOD Record (3) / Nature (3)
118,Crowdsourcing & Human Computation,"Crowds, Data & Human-AI Decisions",423,297,ml/ai,0.21,social science,0.19,psychology,0.13,SIGCHI Conference on Human Factors in Computing Systems (16) / ACM SIGKDD Workshop on Human Computation (12) / Communications of the ACM (10) / Cognitive Science (6)
119,Explainable Machine Learning,"Crowds, Data & Human-AI Decisions",415,355,ml/ai,0.16,social science,0.14,hci (journals & other venues),0.14,Human-Computer Interaction (15) / User Modeling and User-Adapted Interaction (14) / Human Factors The Journal of the Human Factors and Ergonomic (12) / MIS Quarterly (10)
120,Data Visualization,"Crowds, Data & Human-AI Decisions",399,479,graphics,0.26,psychology,0.11,other,0.1,IEEE Transactions on Visualization and Computer Graphics (52) / Journal of the American Statistical Association (21) / Design Issues (12) / Information Visualization (9)
121,Fairness & Clinical AI,"Crowds, Data & Human-AI Decisions",299,269,social science,0.28,ml/ai,0.13,other,0.12,Communications of the ACM (8) / Journal of the American Medical Informatics Association (6) / interactions (5) / AI Magazine (4)
122,Data Work & Infrastructure,"Crowds, Data & Human-AI Decisions",293,283,social science,0.4,other,0.17,hci (journals & other venues),0.16,Computer Supported Cooperative Work (CSCW) (20) / Organization Science (13) / Social Studies of Science (8) / Communications of the ACM (7)
123,Interactive Machine Learning,"Crowds, Data & Human-AI Decisions",173,145,ml/ai,0.41,other,0.12,social science,0.1,Communications of the ACM (8) / Machine Learning (6) / DSpace@MIT (Massachusetts Institute of Technology) (3) / Computer supported cooperative work (3)
124,Peer & Crowd Feedback,"Crowds, Data & Human-AI Decisions",126,184,social science,0.21,ml/ai,0.17,psychology,0.11,Communications of the ACM (15) / Psychological Review (5) / SIGCHI conference on Human factors in computing systems  - C (4) / arXiv (Cornell University) (4)
125,Computational Notebooks,"Crowds, Data & Human-AI Decisions",159,89,cs general,0.18,hci (journals & other venues),0.17,social science,0.11,Computer (9) / User Modeling and User-Adapted Interaction (7) / Communications of the ACM (6) / The American Journal of Psychology (3)
126,Social Media & Mental Health,"Work, Community & Society",689,771,social science,0.52,psychology,0.11,other,0.1,Journal of Computer-Mediated Communication (67) / American Journal of Sociology (22) / Contemporary Sociology A Journal of Reviews (19) / American Sociological Review (16)
127,ICTD & Rural Communities,"Work, Community & Society",591,439,social science,0.28,other,0.18,hci (journals & other venues),0.11,2007 International Conference on Information and Communicati (18) / 2006 International Conference on Information and Communicati (13) / Information Technologies and International Development (13) / Communications of the ACM (9)
128,Wikipedia & Open Source,"Work, Community & Society",567,604,social science,0.41,other,0.13,psychology,0.1,Communications of the ACM (30) / Journal of Computer-Mediated Communication (17) / Journal of Personality and Social Psychology (15) / Organization Science (10)
129,Crisis Informatics,"Work, Community & Society",534,546,social science,0.49,ml/ai,0.18,other,0.11,International AAAI Conference on Web and Social Media (27) / Contemporary Sociology A Journal of Reviews (15) / Organization Science (14) / 2009 42nd Hawaii International Conference on System Sciences (13)
130,Gender & Algorithmic Bias,"Work, Community & Society",437,535,social science,0.37,other,0.11,psychology,0.1,New Media & Society (20) / Communications of the ACM (14) / Journal of Computer-Mediated Communication (11) / International AAAI Conference on Web and Social Media (10)
131,Civic Participation,"Work, Community & Society",409,448,social science,0.32,other,0.21,hci (journals & other venues),0.16,Communications of the ACM (18) / Computer Supported Cooperative Work (CSCW) (13) / Contemporary Sociology A Journal of Reviews (12) / interactions (10)
132,Moderation & Online Harassment,"Work, Community & Society",340,413,social science,0.35,other,0.16,psychology,0.1,Journal of Personality and Social Psychology (11) / Journal of Computer-Mediated Communication (10) / New Media & Society (10) / Science (8)
133,Gig Work & Labor,"Work, Community & Society",336,253,social science,0.42,other,0.14,hci (journals & other venues),0.11,Journal of Computer-Mediated Communication (9) / MIS Quarterly (8) / American Sociological Review (6) / American Journal of Sociology (6)
134,"Gender, Intimacy & Safety","Work, Community & Society",328,414,social science,0.31,hci (journals & other venues),0.13,other,0.12,Communication Research (17) / Journal of Computer-Mediated Communication (14) / interactions (11) / CHI '05 Extended Abstracts on Human Factors in Computing Sys (9)
135,Enterprise Social Media & Crowdfunding,"Work, Community & Society",230,264,social science,0.41,other,0.11,psychology,0.1,Communications of the ACM (28) / Computer Supported Cooperative Work (CSCW) (9) / ACM Transactions on Information Systems (8) / Intellectual Teamwork (6)
136,"Refugees, Hackathons & Crypto","Work, Community & Society",140,105,social science,0.3,hci (journals & other venues),0.15,other,0.11,Computer Supported Cooperative Work (CSCW) (5) / interactions (3) / Journal of Information Technology (2) / Communications of the ACM (2)
